User Activities
""
"Object Type,File Name,Object Name,Description,User Name,Activity,Status,Timestamp,Previous Value,Current Value"
""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 11:54:55"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.21 11:54:53"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:22:46"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:22:43"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.21 09:22:42"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Update"",""Success"",""2024.08.21 09:22:35"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:19:39"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:19:34"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.21 09:19:33"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Update"",""Success"",""2024.08.21 09:19:24"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/812)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.21 09:15:39"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:11:44"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:11:42"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.21 09:11:36"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Update"",""Success"",""2024.08.21 09:11:05"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:08:25"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:08:23"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.21 09:08:23"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Update"",""Success"",""2024.08.21 09:08:15"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:01:13"","""","""""
"""Story"",""Sistema di analisi della contabilità Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilità Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.21 09:01:11"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.21 09:01:10"","""","""""
